Lemma;Cx;Cx-Prs;Verb_type1;Contingency;Contingency-Coarse;Intention;Intention-Coarse;Link_to_t0;Link_to_t0-Coarse;Temporal_proximityA;Temporal_proximityA-ORD;Speaker_certaintyD;Speaker_certaintyD-ORD;Person_animacy
start ING;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
make;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
use;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
throw;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;1_;1_;1st-animate
go eat;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
make;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
do;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;3_;3_;1st-animate
keep ING;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
do;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
start ING;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
wear;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
fuck;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
cut;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;detached;detached;1_imminent;1_imminent;1_;1_;1st-animate
stop;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
put;going_to;GT-1st;action verbs;independent;independent;non-intentional;non-intentional;detached;detached;3_unknown;3_unknown;3_;3_;1st-animate
go make;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;1_imminent;1_imminent;1_;1_;1st-animate
do;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;1_;1_;1st-animate
wear;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;3_;3_;1st-animate
put into practice;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
do;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
make;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
fuck;going_to;GT-1st;action verbs;contingent (when-clause);contingent ;speaker-intention;intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
study;going_to;GT-1st;action verbs;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;5_distal;5_distal;2_;2_;1st-animate
find;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;2_;2_;1st-animate
keep;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;detached;detached;3_unknown;3_unknown;3_;3_;1st-animate
buy;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
take;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
buy;going_to;GT-1st;change of possession;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;2_proximal;2_proximal;1_;1_;1st-animate
throw;going_to;GT-1st;change of possession;contingent (if-clause);contingent ;speaker-intention;intentional;detached;detached;2_proximal;2_proximal;3_;3_;1st-animate
have;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;1_;1_;1st-animate
get;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;1_;1_;1st-animate
start ING;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;1st-animate
get;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;2_proximal;2_proximal;3_;3_;1st-animate
finish;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;attached (decision taken);attached ;3_unknown;3_unknown;2_;2_;1st-animate
make;going_to;GT-1st;change of state;independent;independent;speaker-intention;intentional;detached;detached;3_unknown;3_unknown;2_;2_;1st-animate
get;going_to;GT-1st;change of state;contingent (if-clause);contingent ;non-intentional;non-intentional;detached;detached;4_neutral;4_neutral;3_;3_;1st-animate
fail;going_to;GT-1st;change of state;independent;independent;non-intentional;non-intentional;detached;detached;5_distal;5_distal;3_;3_;1st-animate
